Index,Time,camToTurretTranformationDisplay[0],camToTurretTranformationDisplay[1],camToTurretTranformationDisplay[2],camToTurretTranformationDisplay[3],camToTurretTranformationDisplay[4],camToTurretTranformationDisplay[5],camToTurretTranformationDisplay[6],camToTurretTranformationDisplay[7],camToTurretTranformationDisplay[8],camToTurretTranformationDisplay[9],camToTurretTranformationDisplay[10],camToTurretTranformationDisplay[11],camToTurretTranformationDisplay[12],camToTurretTranformationDisplay[13],camToTurretTranformationDisplay[14],camToTurretTranformationDisplay[15]
0,0.000000,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
1,0.000996,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
2,0.002005,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
3,0.003000,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
4,0.003998,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
5,0.005004,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
6,0.006028,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
7,0.006998,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
8,0.007994,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
9,0.009000,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
10,0.009998,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
11,0.010993,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
12,0.011991,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
13,0.012999,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
14,0.013996,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
15,0.014992,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
16,0.016037,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
17,0.016995,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
18,0.018004,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
19,0.018999,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
20,0.020008,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
21,0.021005,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
22,0.022003,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
23,0.022999,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
24,0.024007,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
25,0.025003,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
26,0.025999,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
27,0.027005,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
28,0.028003,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
29,0.028998,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
30,0.030006,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
31,0.031001,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
32,0.032001,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
33,0.033008,0.991012216,0.132668719,-0.0171393249,0.0688937902,-0.133771241,0.982844472,-0.126972586,0.0469053835,0,0.128124133,0.991758168,-0.00187899603,0,0,0,1
